package_name,component,application_or_service,repo,openstack_release,2018.4.0,2018.11.0,2019.2.0,2019.2.1,2019.2.2
locales,,,,,,,,,
login,,,,,,,,,
logrotate,,,,,,,,,
lsb-base,,,,,,,,,
lsb-release,,,,,,,,,
lshw,,,,,,,,,
lsof,,,,,,,,,
lsscsi,,,,,,,,,
ltrace,,,,,,,,,
lvm2,,,,,,,,,
lxc-common,,,,,,,,,
lxcfs,,,,,,,,,
lxd,,,,,,,,,
lxd-client,,,,,,,,,
lzop,,,,,,,,,
maas-cli,DriveTrain,MAAS,mirror,,,2.3.5,2.3.5,,
maas-common,DriveTrain,MAAS,mirror,,,2.3.5,2.3.5,,
maas-dhcp,DriveTrain,MAAS,mirror,,,2.3.5,2.3.5,,
maas-dns,DriveTrain,MAAS,mirror,,,2.3.5,2.3.5,,
maas-proxy,DriveTrain,MAAS,mirror,,,2.3.5,2.3.5,,
maas-rack-controller,DriveTrain,MAAS,mirror,,,2.3.5,2.3.5,,
maas-region-api,DriveTrain,MAAS,mirror,,,2.3.5,2.3.5,,
maas-region-controller,DriveTrain,MAAS,mirror,,,2.3.5,2.3.5,,
make,,,,,,,,,
makedev,,,,,,,,,
man-db,,,,,,,,,
manpages,,,,,,,,,
mawk,,,,,,,,,
mc,,,,,,,,,
mc-data,,,,,,,,,
mcelog,,,,,,,,,
mdadm,,,,,,,,,
memcached,,,,,,,,,
memtest86+,,,,,,,,,
mime-support,,,,,,,,,
minicom,,,,,,,,,
mlocate,,,,,,,,,
mongodb,StackLight LMA,MongoDB,mirror,,,2.6.10,2.6.10,,
mongodb-clients,StackLight LMA,MongoDB,mirror,,,2.6.10,2.6.10,,
mongodb-server,StackLight LMA,MongoDB,mirror,,,2.6.10,2.6.10,,
mount,,,,,,,,,
mtools,,,,,,,,,
mtr-tiny,,,,,,,,,
multiarch-support,,,,,,,,,
mysql-client,System,MySQL,mirror,,,5.6.35,5.6.35-0.1~u16.04+mcp2 [5],,
mysql-common,System,MySQL,,,,,,,
mysql-wsrep-5.6,System,MySQL,mirror,,,5.6.35,5.6.35-0.1~u16.04+mcp2 [5],,
mysql-wsrep-client-5.6,System,MySQL,mirror,,,5.6.35,5.6.35-0.1~u16.04+mcp2 [5],,
mysql-wsrep-common-5.6,System,MySQL,mirror,,,5.6.35,5.6.35-0.1~u16.04+mcp2 [5],,
mysql-wsrep-libmysqlclient18,System,MySQL,mirror,,,5.6.35,5.6.35-0.1~u16.04+mcp2 [5],,
mysql-wsrep-server-5.6,System,MySQL,mirror,,,5.6.35,5.6.35-0.1~u16.04+mcp2 [5],,
nano,,,,,,,,,
ncurses-base,,,,,,,,,
ncurses-bin,,,,,,,,,
ncurses-term,,,,,,,,,
net-tools,,,,,,,,,
netbase,,,,,,,,,
netcat-openbsd,,,,,,,,,
netfilter-persistent,,,,,,,,,
neutron-common,OpenStack Networking,Neutron,mirantis,Queens,,12.0.5-5~u16.04+mcp62,2:12.0.5-5~u16.04+mcp93 [5],,
neutron-dhcp-agent,OpenStack Networking,Neutron,mirantis,Queens,,12.0.5-5~u16.04+mcp62,2:12.0.5-5~u16.04+mcp93 [5],,
neutron-l3-agent,OpenStack Networking,Neutron,mirantis,Queens,,12.0.5-5~u16.04+mcp62,2:12.0.5-5~u16.04+mcp93 [5],,
neutron-metadata-agent,OpenStack Networking,Neutron,mirantis,Queens,,12.0.5-5~u16.04+mcp62,2:12.0.5-5~u16.04+mcp93 [5],,
neutron-openvswitch-agent,OpenStack Networking,Neutron,mirantis,Queens,,12.0.5-5~u16.04+mcp62,2:12.0.5-5~u16.04+mcp93 [5],,
neutron-plugin-ml2,OpenStack Networking,Neutron,mirantis,Queens,,12.0.5-5~u16.04+mcp62,2:12.0.5-5~u16.04+mcp93 [5],,
neutron-server,OpenStack Networking,Neutron,mirantis,Queens,,12.0.5-5~u16.04+mcp62,2:12.0.5-5~u16.04+mcp93 [5],,
nginx,System,NGINX,mirror,,,1.10.3,1.10.3,,
nginx-common,System,NGINX,mirror,,,1.10.3,1.10.3,,
nginx-core,System,NGINX,mirror,,,1.10.3,1.10.3,,
nova-api,OpenStack,Nova,mirantis,Queens,,17.0.7-6~u16.01+mcp90,2:17.0.9-6~u16.01+mcp93 [5],,
nova-common,OpenStack,Nova,mirantis,Queens,,17.0.7-6~u16.01+mcp90,2:17.0.9-6~u16.01+mcp93 [5],,
nova-compute,OpenStack,Nova,mirantis,Queens,,17.0.7-6~u16.01+mcp90,2:17.0.9-6~u16.01+mcp93 [5],,
nova-compute-kvm,OpenStack,Nova,mirantis,Queens,,17.0.7-6~u16.01+mcp90,2:17.0.9-6~u16.01+mcp93 [5],,
nova-conductor,OpenStack,Nova,mirantis,Queens,,17.0.7-6~u16.01+mcp90,2:17.0.9-6~u16.01+mcp93 [5],,
nova-consoleauth,OpenStack,Nova,mirantis,Queens,,17.0.7-6~u16.01+mcp90,2:17.0.9-6~u16.01+mcp93 [5],,
nova-consoleproxy,OpenStack,Nova,mirantis,Queens,,17.0.7-6~u16.01+mcp90,2:17.0.9-6~u16.01+mcp93 [5],,
nova-doc,OpenStack,Nova,mirantis,Queens,,17.0.7-6~u16.01+mcp90,2:17.0.9-6~u16.01+mcp93 [5],,
nova-placement-api,OpenStack,Nova,mirantis,Queens,,17.0.7-6~u16.01+mcp90,2:17.0.9-6~u16.01+mcp93 [5],,
nova-scheduler,OpenStack,Nova,mirantis,Queens,,17.0.7-6~u16.01+mcp90,2:17.0.9-6~u16.01+mcp93 [5],,
novnc,,,,,,,,,
ntfs-3g,,,,,,,,,
ntp,,,,,,,,,
nvme-cli,,,,,,,,,
octavia-api,OpenStack Networking,Octavia,mirantis,Queens,,2.0.2-6~u16.04+mcp62,2.0.2-6~u16.04+mcp69 [5],,
octavia-common,OpenStack Networking,Octavia,mirantis,Queens,,2.0.2-6~u16.04+mcp62,2.0.2-6~u16.04+mcp69 [5],,
octavia-health-manager,OpenStack Networking,Octavia,mirantis,Queens,,2.0.2-6~u16.04+mcp62,2.0.2-6~u16.04+mcp69 [5],,
octavia-housekeeping,OpenStack Networking,Octavia,mirantis,Queens,,2.0.2-6~u16.04+mcp62,2.0.2-6~u16.04+mcp69 [5],,
octavia-worker,OpenStack Networking,Octavia,mirantis,Queens,,2.0.2-6~u16.04+mcp62,2.0.2-6~u16.04+mcp69 [5],,
open-iscsi,,,,,,,,,
open-vm-tools,,,,,,,,,
openipmi,,,,,,,,,
openjdk-8-jdk-headless,System,Java,,,,,,,
openjdk-8-jre,System,Java,,,,,,,
openjdk-8-jre-headless,System,Java,,,,,,,
openssh-client,System,SSH,,,,,,,
openssh-server,System,SSH,,,,,,,
openssh-sftp-server,System,SSH,,,,,,,
openssl,System,SSL,,,,,,,
openstack-dashboard,OpenStack,Horizon,mirantis,Queens,,13.0.1-9~u16.04+mcp,3:13.0.1-10~u16.04+mcp70 [5],,
openvswitch-common,System,Open vSwitch,mirantis,,,,,,
openvswitch-switch,System,Open vSwitch,mirantis,,,,,,
os-brick-common,,,,,,,,,
os-prober,,,,,,,,,
overlayroot,,,,,,,,,
p7zip,,,,,,,,,
parted,,,,,,,,,
passwd,,,,,,,,,
pastebinit,,,,,,,,,
patch,,,,,,,,,
pciutils,,,,,,,,,
percona-xtrabackup,,,,,,,,,
perl,,,,,,,,,
perl-base,,,,,,,,,
perl-modules-5.22,,,,,,,,,
pkg-config,,,,,,,,,
plotnetcfg,,,,,,,,,
plymouth,,,,,,,,,
plymouth-theme-ubuntu-text,,,,,,,,,
pm-utils,,,,,,,,,
policykit-1,,,,,,,,,
pollinate,,,,,,,,,
popularity-contest,,,,,,,,,
postfix,,,,,,,,,
postgresql,System,PostgreSQL,,,,,,,
postgresql-9.5,System,PostgreSQL,,,,,,,
postgresql-client-9.5,System,PostgreSQL,,,,,,,
postgresql-client-common,System,PostgreSQL,,,,,,,
postgresql-common,System,PostgreSQL,,,,,,,
postgresql-contrib-9.5,System,PostgreSQL,,,,,,,
postgresql-doc-9.5,System,PostgreSQL,,,,,,,
powermgmt-base,,,,,,,,,
procps,,,,,,,,,
prometheus-bin,StackLight LMA,Prometheus,mirror,,,2.2.1,2.5.0,,
prometheus-relay,,,,,,,,,
psmisc,,,,,,,,,
pxelinux,,,,,,,,,
pycadf-common,,,,,,,,,
python,,,,,,,,,
python-alabaster,,,,,,,,,
python-alembic,,,,,,,,,
python-amqp,,,,,,,,,
python-anyjson,,,,,,,,,
python-aodhclient,,,,,,,,,
python-appdirs,,,,,,,,,
python-apt,,,,,,,,,
python-apt-common,,,,,,,,,
python-asn1crypto,,,,,,,,,
python-automaton,,,,,,,,,
python-babel,,,,,,,,,
python-babel-localedata,,,,,,,,,
python-backports-abc,,,,,,,,,
python-backports.ssl-match-hostname,,,,,,,,,
python-barbicanclient,,,,,,,,,
python-bcrypt,,,,,,,,,
python-blinker,,,,,,,,,
python-boto,,,,,,,,,
python-bs4,,,,,,,,,
python-bson,,,,,,,,,
python-cachetools,,,,,,,,,
python-castellan,,,,,,,,,
python-ceilometerclient,,,,,,,,,
python-cephfs,Distributed storage,Ceph,mirantis,,,12.2.8-1~u16.04+mcp142,12.2.8-1~u16.04+mcp142,,
python-certifi,,,,,,,,,
python-cffi,,,,,,,,,
python-cffi-backend,,,,,,,,,
python-chardet,,,,,,,,,
python-cherrypy3,,,,,,,,,
python-cinder,,,,,,,,,
python-cinderclient,,,,,,,,,
python-cliff,,,,,,,,,
python-cmd2,,,,,,,,,
python-concurrent.futures,,,,,,,,,
python-contextlib2,,,,,,,,,
python-cotyledon,,,,,,,,,
python-croniter,,,,,,,,,
python-crypto,,,,,,,,,
python-cryptography,,,,,,,,,
python-csscompressor,,,,,,,,,
python-cursive,,,,,,,,,
python-dateutil,,,,,,,,,
python-dbus,,,,,,,,,
python-debtcollector,,,,,,,,,
python-decorator,,,,,,,,,
python-defusedxml,,,,,,,,,
python-deprecation,,,,,,,,,
python-designateclient,,,,,,,,,
python-dib-utils,,,,,,,,,
python-diskimage-builder,,,,,,,,,
python-django,,,,,,,,,
python-django-appconf,,,,,,,,,
python-django-babel,,,,,,,,,
python-django-common,,,,,,,,,
python-django-compressor,,,,,,,,,
python-django-horizon,OpenStack,Horizon,mirantis,Queens,,13.0.1-9~u16.04+mcp,3:13.0.1-10~u16.04+mcp70 [5],,
python-django-pyscss,,,,,,,,,
python-dnspython,,,,,,,,,
python-docker,,,,,,,,,
python-docutils,,,,,,,,,
python-dogpile.cache,,,,,,,,,
python-elasticsearch,,,,,,,,,
python-enum34,,,,,,,,,
python-eventlet,,,,,,,,,
python-extras,,,,,,,,,
python-fasteners,,,,,,,,,
python-fixtures,,,,,,,,,
python-flask,,,,,,,,,
python-fluent-logger,,,,,,,,,
python-formencode,,,,,,,,,
python-funcsigs,,,,,,,,,
python-functools32,,,,,,,,,
python-futurist,,,,,,,,,
python-gerritlib,,,,,,,,,
python-github,,,,,,,,,
python-glance,OpenStack,Glance,mirantis,Queens,,16.0.1-2~u16.04+mcp21,2:16.0.1-2~u16.04+mcp23,,
python-glance-store,OpenStack,Glance,,,,,,,
python-glanceclient,OpenStack,Glance,,,,,,,
python-gnocchiclient,,,,,,,,,
python-googleapi,,,,,,,,,
python-greenlet,,,,,,,,,
python-guestfs,,,,,,,,,
python-gunicorn,,,,,,,,,
python-heat,OpenStack,Heat,mirantis,Queens,,10.0.2-1.0~u16.04+mcp37,1:10.0.2-1.0~u16.04+mcp54 [5],,
python-heat-dashboard,,,,,,,,,
python-heatclient,,,,,,,,,
python-httplib2,,,,,,,,,
python-idna,,,,,,,,,
python-imagesize,,,,,,,,,
python-ipaddr,,,,,,,,,
python-ipaddress,,,,,,,,,
python-iso8601,,,,,,,,,
python-itsdangerous,,,,,,,,,
python-jenkins,,,,,,,,,
python-jinja2,,,,,,,,,
python-jmespath,,,,,,,,,
python-json-pointer,,,,,,,,,
python-jsonpatch,,,,,,,,,
python-jsonschema,,,,,,,,,
python-jwt,,,,,,,,,
python-kazoo,,,,,,,,,
python-keyring,,,,,,,,,
python-keystone,OpenStack,Keystone,mirantis,Queens,,13.0.1-3~u16.04+mcp18,2:13.0.2-3~u16.04+mcp15,,
python-keystoneauth1,,,,,,,,,
python-keystoneclient,,,,,,,,,
python-keystonemiddleware,,,,,,,,,
python-kombu,,,,,,,,,
python-ldap,,,,,,,,,
python-ldappool,,,,,,,,,
python-lesscpy,,,,,,,,,
python-libvirt,,,,,,,,,
python-linecache2,,,,,,,,,
python-logutils,,,,,,,,,
python-lxml,,,,,,,,,
python-m2crypto,,,,,,,,,
python-magnumclient,,,,,,,,,
python-mako,,,,,,,,,
python-manilaclient,,,,,,,,,
python-markupsafe,,,,,,,,,
python-memcache,,,,,,,,,
python-microversion-parse,,,,,,,,,
python-migrate,,,,,,,,,
python-mimeparse,,,,,,,,,
python-minimal,,,,,,,,,
python-mistralclient,,,,,,,,,
python-mock,,,,,,,,,
python-monascaclient,,,,,,,,,
python-monotonic,,,,,,,,,
python-msgpack,,,,,,,,,
python-multi-key-dict,,,,,,,,,
python-munch,,,,,,,,,
python-mysqldb,,,,,,,,,
python-ndg-httpsclient,,,,,,,,,
python-netaddr,,,,,,,,,
python-netifaces,,,,,,,,,
python-networkx,,,,,,,,,
python-neutron,OpenStack Networking,Neutron,mirantis,Queens,,12.0.5-5~u16.04+mcp62,2:12.0.5-5~u16.04+mcp93 [5],,
python-neutron-fwaas,,,,,,,,,
python-neutron-lbaas,,,,,,,,,
python-neutron-lib,,,,,,,,,
python-neutronclient,,,,,,,,,
python-nova,OpenStack,Nova,mirantis,Queens,,17.0.7-6~u16.01+mcp90,2:17.0.9-6~u16.01+mcp93 [5],,
python-novaclient,,,,,,,,,
python-novnc,,,,,,,,,
python-numpy,,,,,,,,,
python-oauth,,,,,,,,,
python-oauth2client,,,,,,,,,
python-oauthlib,,,,,,,,,
python-octavia,OpenStack Networking,Octavia,mirantis,Queens,,2.0.2-6~u16.04+mcp62,2.0.2-6~u16.04+mcp69 [5],,
python-octavia-dashboard,,,,,,,,,
python-octaviaclient,,,,,,,,,
python-openssl,,,,,,,,,
python-openstackclient,OpenStack,Other,,,,,,,
python-openstacksdk,OpenStack,Other,,,,,,,
python-openvswitch,System,Open vSwitch,mirantis,,,2.8.0-4~u16.04+mcp1,2.8.0-4~u16.04+mcp1,,
python-os-brick,,,,,,,,,
python-os-client-config,,,,,,,,,
python-os-service-types,,,,,,,,,
python-os-traits,,,,,,,,,
python-os-vif,,,,,,,,,
python-os-win,,,,,,,,,
python-os-xenapi,,,,,,,,,
python-osc-lib,,,,,,,,,
python-oslo.cache,,,,,,,,,
python-oslo.concurrency,,,,,,,,,
python-oslo.config,,,,,,,,,
python-oslo.context,,,,,,,,,
python-oslo.db,,,,,,,,,
python-oslo.i18n,,,,,,,,,
python-oslo.log,,,,,,,,,
python-oslo.messaging,,,,,,,,,
python-oslo.middleware,,,,,,,,,
python-oslo.policy,,,,,,,,,
python-oslo.privsep,,,,,,,,,
python-oslo.reports,,,,,,,,,
python-oslo.rootwrap,,,,,,,,,
python-oslo.serialization,,,,,,,,,
python-oslo.service,,,,,,,,,
python-oslo.utils,,,,,,,,,
python-oslo.versionedobjects,,,,,,,,,
python-oslo.vmware,,,,,,,,,
python-osprofiler,,,,,,,,,
python-ovsdbapp,,,,,,,,,
python-paramiko,,,,,,,,,
python-passlib,,,,,,,,,
python-paste,,,,,,,,,
python-pastedeploy,,,,,,,,,
python-pastedeploy-tpl,,,,,,,,,
python-pathlib,,,,,,,,,
python-pbr,,,,,,,,,
python-pecan,,,,,,,,,
python-pika,,,,,,,,,
python-pika-pool,,,,,,,,,
python-pint,,,,,,,,,
python-pip,,,,,,,,,
python-pip-whl,,,,,,,,,
python-pkg-resources,,,,,,,,,
python-pkginfo,,,,,,,,,
python-ply,,,,,,,,,
python-positional,,,,,,,,,
python-posix-ipc,,,,,,,,,
python-prettytable,,,,,,,,,
python-psutil,,,,,,,,,
python-psycopg2,,,,,,,,,
python-pyasn1,,,,,,,,,
python-pyasn1-modules,,,,,,,,,
python-pycadf,,,,,,,,,
python-pycparser,,,,,,,,,
python-pycurl,,,,,,,,,
python-pygerrit2,,,,,,,,,
python-pygments,,,,,,,,,
python-pyinotify,,,,,,,,,
python-pyldap,,,,,,,,,
python-pymemcache,,,,,,,,,
python-pymongo,,,,,,,,,
python-pymysql,,,,,,,,,
python-pyparsing,,,,,,,,,
python-pypowervm,,,,,,,,,
python-pyroute2,,,,,,,,,
python-pyrss2gen,,,,,,,,,
python-pysaml2,,,,,,,,,
python-pyscss,,,,,,,,,
python-rados,Distributed storage,Ceph,mirantis,,,12.2.8-1~u16.04+mcp142,12.2.8-1~u16.04+mcp142,,
python-rbd,Distributed storage,Ceph,mirantis,,,12.2.8-1~u16.04+mcp142,12.2.8-1~u16.04+mcp142,,
python-rcssmin,,,,,,,,,
python-reclass,DriveTrain,Reclass,,,,1.5.1-1tcp4,1.5.6-1.0~u16.04+mcp0,,
python-redis,,,,,,,,,
python-repoze.lru,,,,,,,,,
python-requests,,,,,,,,,
python-requestsexceptions,,,,,,,,,
python-retrying,,,,,,,,,
python-rfc3986,,,,,,,,,
python-rgw,Distributed storage,Ceph,mirantis,,,12.2.8-1~u16.04+mcp142,12.2.8-1~u16.04+mcp142,,
python-rjsmin,,,,,,,,,
python-roman,,,,,,,,,
python-routes,,,,,,,,,
python-rsa,,,,,,,,,
python-rtslib-fb,,,,,,,,,
python-ryu,,,,,,,,,
python-saharaclient,,,,,,,,,
python-scrypt,,,,,,,,,
python-semantic-version,,,,,,,,,
python-senlinclient,,,,,,,,,
python-setproctitle,,,,,,,,,
python-setuptools,,,,,,,,,
python-simplegeneric,,,,,,,,,
python-simplejson,,,,,,,,,
python-singledispatch,,,,,,,,,
python-six,,,,,,,,,
python-sphinx,,,,,,,,,
python-sqlalchemy,,,,,,,,,
python-sqlparse,,,,,,,,,
python-statsd,,,,,,,,,
python-stevedore,,,,,,,,,
python-subunit,,,,,,,,,
python-suds,,,,,,,,,
python-swiftclient,,,,,,,,,
python-systemd,,,,,,,,,
python-taskflow,,,,,,,,,
python-tempita,,,,,,,,,
python-tenacity,,,,,,,,,
python-testtools,,,,,,,,,
python-tinyrpc,,,,,,,,,
python-tooz,,,,,,,,,
python-tornado,,,,,,,,,
python-traceback2,,,,,,,,,
python-troveclient,,,,,,,,,
python-typing,,,,,,,,,
python-tz,,,,,,,,,
python-ujson,,,,,,,,,
python-unicodecsv,,,,,,,,,
python-unittest2,,,,,,,,,
python-uritemplate,,,,,,,,,
python-urllib3,,,,,,,,,
python-vine,,,,,,,,,
python-voluptuous,,,,,,,,,
python-waitress,,,,,,,,,
python-warlock,,,,,,,,,
python-weakrefmethod,,,,,,,,,
python-webob,,,,,,,,,
python-websocket,,,,,,,,,
python-websockify,,,,,,,,,
python-webtest,,,,,,,,,
python-werkzeug,,,,,,,,,
python-wrapt,,,,,,,,,
python-wsme,,,,,,,,,
python-xstatic,,,,,,,,,
python-xstatic-angular,,,,,,,,,
python-xstatic-angular-bootstrap,,,,,,,,,
python-xstatic-angular-fileupload,,,,,,,,,
python-xstatic-angular-gettext,,,,,,,,,
python-xstatic-angular-lrdragndrop,,,,,,,,,
python-xstatic-angular-schema-form,,,,,,,,,
python-xstatic-bootstrap-datepicker,,,,,,,,,
python-xstatic-bootstrap-scss,,,,,,,,,
python-xstatic-bootswatch,,,,,,,,,
python-xstatic-d3,,,,,,,,,
python-xstatic-font-awesome,,,,,,,,,
python-xstatic-hogan,,,,,,,,,
python-xstatic-jasmine,,,,,,,,,
python-xstatic-jquery,,,,,,,,,
python-xstatic-jquery-migrate,,,,,,,,,
python-xstatic-jquery-ui,,,,,,,,,
python-xstatic-jquery.quicksearch,,,,,,,,,
python-xstatic-jquery.tablesorter,,,,,,,,,
python-xstatic-jsencrypt,,,,,,,,,
python-xstatic-magic-search,,,,,,,,,
python-xstatic-mdi,,,,,,,,,
python-xstatic-objectpath,,,,,,,,,
python-xstatic-rickshaw,,,,,,,,,
python-xstatic-roboto-fontface,,,,,,,,,
python-xstatic-smart-table,,,,,,,,,
python-xstatic-spin,,,,,,,,,
python-xstatic-term.js,,,,,,,,,
python-xstatic-tv4,,,,,,,,,
python-yaml,,,,,,,,,
python-yaql,,,,,,,,,
python-zake,,,,,,,,,
python-zaqarclient,,,,,,,,,
python-zmq,,,,,,,,,
python-zope.interface,,,,,,,,,
python-zunclient,,,,,,,,,
python2.7,,,,,,,,,
python2.7-minimal,,,,,,,,,
python3,,,,,,,,,
python3-alabaster,,,,,,,,,
python3-apport,,,,,,,,,
python3-apt,,,,,,,,,
python3-asn1crypto,,,,,,,,,
python3-attr,,,,,,,,,
python3-babel,,,,,,,,,
python3-blinker,,,,,,,,,
python3-bson,,,,,,,,,
python3-certifi,,,,,,,,,
python3-cffi,,,,,,,,,
python3-cffi-backend,,,,,,,,,
python3-chardet,,,,,,,,,
python3-commandnotfound,,,,,,,,,
python3-configobj,,,,,,,,,
python3-convoy,,,,,,,,,
python3-crochet,,,,,,,,,
python3-crypto,,,,,,,,,
python3-cryptography,,,,,,,,,
python3-curtin,,,,,,,,,
python3-dbus,,,,,,,,,
python3-debian,,,,,,,,,
python3-distro-info,,,,,,,,,
python3-distupgrade,,,,,,,,,
python3-django,,,,,,,,,
python3-django-maas,,,,,,,,,
python3-django-piston3,,,,,,,,,
python3-djorm-ext-pgarray,,,,,,,,,
python3-dnspython,,,,,,,,,
python3-docutils,,,,,,,,,
python3-ecdsa,,,,,,,,,
python3-extras,,,,,,,,,
python3-fixtures,,,,,,,,,
python3-formencode,,,,,,,,,
python3-gdbm,,,,,,,,,
python3-gi,,,,,,,,,
python3-httplib2,,,,,,,,,
python3-idna,,,,,,,,,
python3-imagesize,,,,,,,,,
python3-iso8601,,,,,,,,,
python3-jinja2,,,,,,,,,
python3-json-pointer,,,,,,,,,
python3-jsonpatch,,,,,,,,,
python3-jsonschema,,,,,,,,,
python3-jwt,,,,,,,,,
python3-linecache2,,,,,,,,,
python3-lxml,,,,,,,,,
python3-maas-client,,,,,,,,,
python3-maas-provisioningserver,,,,,,,,,
python3-markupsafe,,,,,,,,,
python3-mimeparse,,,,,,,,,
python3-minimal,,,,,,,,,
python3-netaddr,,,,,,,,,
python3-netifaces,,,,,,,,,
python3-newt,,,,,,,,,
python3-oauth,,,,,,,,,
python3-oauthlib,,,,,,,,,
python3-openssl,,,,,,,,,
python3-paramiko,,,,,,,,,
python3-pbr,,,,,,,,,
python3-petname,,,,,,,,,
python3-pexpect,,,,,,,,,
python3-pkg-resources,,,,,,,,,
python3-ply,,,,,,,,,
python3-prettytable,,,,,,,,,
python3-problem-report,,,,,,,,,
python3-psycopg2,,,,,,,,,
python3-ptyprocess,,,,,,,,,
python3-pyasn1,,,,,,,,,
python3-pyasn1-modules,,,,,,,,,
python3-pycparser,,,,,,,,,
python3-pycurl,,,,,,,,,
python3-pygments,,,,,,,,,
python3-pyparsing,,,,,,,,,
python3-pyvmomi,,,,,,,,,
python3-requests,,,,,,,,,
python3-roman,,,,,,,,,
python3-seamicroclient,,,,,,,,,
python3-serial,,,,,,,,,
python3-service-identity,,,,,,,,,
python3-simplejson,,,,,,,,,
python3-simplestreams,,,,,,,,,
python3-six,,,,,,,,,
python3-software-properties,,,,,,,,,
python3-sphinx,,,,,,,,,
python3-sphinx-rtd-theme,,,,,,,,,
python3-subunit,,,,,,,,,
python3-systemd,,,,,,,,,
python3-tempita,,,,,,,,,
python3-testtools,,,,,,,,,
python3-traceback2,,,,,,,,,
python3-twisted,,,,,,,,,
python3-txtftp,,,,,,,,,
python3-tz,,,,,,,,,
python3-unittest2,,,,,,,,,
python3-update-manager,,,,,,,,,
python3-urllib3,,,,,,,,,
python3-virtualenv,,,,,,,,,
python3-yaml,,,,,,,,,
python3-zope.interface,,,,,,,,,
python3.5,,,,,,,,,
python3.5-minimal,,,,,,,,,
qemu-block-extra,Hypervisors,qemu,mirantis,,,2.11+dfsg-1.4~u16.04+mcp2,1:2.11+dfsg-1.4~u16.04+mcp2,,
qemu-kvm,Hypervisors,qemu,mirantis,,,2.11+dfsg-1.4~u16.04+mcp2,1:2.11+dfsg-1.4~u16.04+mcp2,,
qemu-system-common,Hypervisors,qemu,mirantis,,,2.11+dfsg-1.4~u16.04+mcp2,1:2.11+dfsg-1.4~u16.04+mcp2,,
qemu-system-x86,Hypervisors,qemu,mirantis,,,2.11+dfsg-1.4~u16.04+mcp2,1:2.11+dfsg-1.4~u16.04+mcp2,,
qemu-utils,Hypervisors,qemu,mirantis,,,2.11+dfsg-1.4~u16.04+mcp2,1:2.11+dfsg-1.4~u16.04+mcp2,,
rabbitmq-server,System,RabbitMQ,mirantis,,,3.6.15-3~u16.04+mcp1,3.6.15-3~u16.04+mcp1,,
radosgw,Distributed storage,Ceph,mirantis,,,12.2.8-1~u16.04+mcp142,12.2.8-1~u16.04+mcp142,,
radvd,,,,,,,,,
rake,,,,,,,,,
readline-common,,,,,,,,,
reclass,,,,,,,,,
rename,,,,,,,,,
resolvconf,,,,,,,,,
rsync,,,,,,,,,
rsyslog,,,,,,,,,
ruby,System,Ruby,,,,,,,
ruby-did-you-mean,System,Ruby,,,,,,,
ruby-minitest,System,Ruby,,,,,,,
ruby-net-telnet,System,Ruby,,,,,,,
ruby-power-assert,System,Ruby,,,,,,,
ruby-test-unit,System,Ruby,,,,,,,
ruby2.3,System,Ruby,,,,,,,
rubygems-integration,,,,,,,,,
run-one,,,,,,,,,
s-nail,,,,,,,,,
salt-api,DriveTrain,SaltStack,mirror,,2017.7.7,2017.7.7,2017.7.8,,
salt-common,DriveTrain,SaltStack,mirror,,2017.7.7,2017.7.7,2017.7.8,,
salt-formula-aodh,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-apache,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-aptcacher,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-aptly,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-artifactory,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-auditd,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-avinetworks,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-backupninja,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-barbican,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-baremetal-simulator,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-billometer,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-bind,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-bird,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-cadf,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-cassandra,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-ccp,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-ceilometer,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-ceph,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-chrony,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-cinder,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-collectd,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-debmirror,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-decapod,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-designate,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-devops-portal,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-docker,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-dogtag,DriveTrain,Salt Formulas,mirantis,,,,,,
salt-formula-dovecot,DriveTrain,Salt Formulas,mirantis,,,,,,
